user_id,transaction_amount,transaction_hour,transaction_frequency,unusual_location,account_age_days,login_frequency,support_contacts,notifications_opted_out,payment_method,fraud_risk,churn_risk
USR_0001,254.83841942723618,7,8,0,584,26,1,0,bank_transfer,0,0
USR_0002,1998.1044330413147,1,19,1,175,13,1,0,bank_transfer,1,0
USR_0003,285.70672252160324,16,9,0,2939,9,6,1,bank_transfer,0,1
USR_0004,50.81826572478023,18,7,0,1173,32,1,0,credit_card,0,0
USR_0005,100.93431602394215,20,9,0,3555,4,5,1,mobile_payment,0,1
USR_0006,117.47081017515038,17,2,0,1025,23,1,0,mobile_payment,0,0
USR_0007,136.353484285974,16,4,0,2374,13,1,0,bank_transfer,0,0
USR_0008,287.0476620557471,6,2,0,1927,8,7,1,credit_card,0,1
USR_0009,256.9432321144428,21,9,0,1591,33,1,0,mobile_payment,0,0
USR_0010,109.54841879846238,18,0,0,1049,32,1,0,mobile_payment,0,0
USR_0011,43.101873293286666,11,9,0,1747,45,0,1,credit_card,0,0
USR_0012,3780.6518427327233,2,14,1,101,20,0,0,mobile_payment,1,0
USR_0013,492.3468431831156,15,7,0,335,42,1,0,bank_transfer,0,0
USR_0014,239.5880053978214,7,4,0,1645,47,0,0,credit_card,0,0
USR_0015,434.9992973040351,8,3,0,3453,14,0,0,bank_transfer,0,0
USR_0016,425.8887086677332,11,8,0,1116,36,0,0,bank_transfer,0,0
USR_0017,260.64458315680815,21,0,0,2004,46,0,0,credit_card,0,0
USR_0018,356.2769771456663,11,4,0,321,36,1,0,mobile_payment,0,0
USR_0019,104.44848510222901,18,0,0,283,40,1,0,bank_transfer,0,0
USR_0020,347.31438541418504,9,5,0,1418,8,7,0,mobile_payment,0,1
USR_0021,143.46844383901185,20,9,0,3560,15,0,0,mobile_payment,0,0
USR_0022,417.71042740953385,11,8,0,287,21,0,0,mobile_payment,0,0
USR_0023,51.02482522336586,6,1,0,2764,4,5,1,mobile_payment,0,1
USR_0024,388.837949713786,14,3,0,1432,31,0,0,mobile_payment,0,0
USR_0025,58.96908421862357,17,7,0,3163,8,3,0,credit_card,0,1
USR_0026,441.7827260782114,16,2,0,806,49,1,0,mobile_payment,0,0
USR_0027,159.06021388615181,18,6,0,3193,48,0,0,mobile_payment,0,0
USR_0028,330.65274876698163,6,6,0,387,47,1,0,bank_transfer,0,0
USR_0029,248.87611652393713,9,1,0,2929,22,1,0,credit_card,0,0
USR_0030,189.48854117854611,10,9,0,906,15,0,0,mobile_payment,0,0
USR_0031,326.26649825991325,22,3,0,1724,29,0,0,mobile_payment,0,0
USR_0032,474.2862604701066,10,0,0,1942,11,0,0,bank_transfer,0,0
USR_0033,30.22217621356471,8,7,0,1936,20,1,0,credit_card,0,0
USR_0034,460.2378993827211,16,9,0,897,17,0,0,credit_card,0,0
USR_0035,3466.600416728924,5,49,1,7,39,1,0,bank_transfer,1,0
USR_0036,405.58400737683564,19,8,0,360,36,1,0,credit_card,0,0
USR_0037,198.098727182796,11,0,0,820,13,0,0,credit_card,0,0
USR_0038,241.20305767043072,6,6,0,2002,2,9,0,mobile_payment,0,1
USR_0039,435.7368683825704,12,0,0,1888,33,1,0,bank_transfer,0,0
USR_0040,213.2755052068133,7,0,0,3228,5,6,0,bank_transfer,0,1
USR_0041,271.9831877070516,6,8,0,3407,28,1,0,credit_card,0,0
USR_0042,19.895512311323124,14,9,0,2099,44,1,0,mobile_payment,0,0
USR_0043,87.71302286064072,22,9,0,1590,12,1,0,credit_card,0,0
USR_0044,324.42638890765187,15,5,0,3353,27,1,0,mobile_payment,0,0
USR_0045,361.31868152129977,11,0,1,2343,46,1,0,credit_card,0,0
USR_0046,295.4744590244047,8,6,0,650,31,0,0,credit_card,0,0
USR_0047,80.22191777504923,20,2,0,1883,42,0,0,bank_transfer,0,0
USR_0048,228.24866000313907,11,9,0,183,47,0,0,credit_card,0,0
USR_0049,183.99643551796302,8,3,0,2221,48,1,0,credit_card,0,0
USR_0050,252.87405857719327,15,3,0,2425,43,0,0,bank_transfer,0,0
USR_0051,4144.609041377407,1,19,1,52,32,0,1,mobile_payment,1,0
USR_0052,390.1721049427394,6,0,0,3647,9,7,1,credit_card,0,1
USR_0053,51.15485568068789,21,7,0,1581,38,0,0,credit_card,0,0
USR_0054,446.2515069095365,22,8,0,2801,11,0,0,bank_transfer,0,0
USR_0055,241.16590406341356,15,6,0,762,23,0,0,mobile_payment,0,0
USR_0056,374.49245099413923,17,0,0,783,17,1,0,credit_card,0,0
USR_0057,78.61922331953255,13,6,0,1677,10,1,0,credit_card,0,0
USR_0058,338.65256759645354,13,5,0,2915,37,1,0,bank_transfer,0,0
USR_0059,125.79974862863439,15,4,0,3642,12,1,0,mobile_payment,0,0
USR_0060,224.80663959905644,15,4,0,1900,16,1,0,credit_card,0,0
USR_0061,18.26280634023116,15,0,0,2795,5,5,1,bank_transfer,0,1
USR_0062,84.28921258593326,12,5,0,758,8,7,0,bank_transfer,0,1
USR_0063,55.11944163057368,9,3,1,1088,18,1,0,bank_transfer,0,0
USR_0064,127.47464473974664,6,0,0,2663,44,0,0,mobile_payment,0,0
USR_0065,59.008864111917916,16,7,0,2290,28,0,0,bank_transfer,0,0
USR_0066,349.0359130435853,10,7,0,2780,24,0,0,credit_card,0,0
USR_0067,24.229552082517493,13,3,0,2174,40,0,0,credit_card,0,0
USR_0068,312.692845306249,7,6,0,922,25,0,0,mobile_payment,0,0
USR_0069,78.94683710453138,7,2,0,1866,1,9,1,credit_card,0,1
USR_0070,4523.245723417489,0,27,1,63,16,1,0,mobile_payment,1,0
USR_0071,467.2160958238286,14,6,0,1106,44,0,0,credit_card,0,0
USR_0072,120.49652023527169,15,4,0,2836,38,1,0,bank_transfer,0,0
USR_0073,311.06643612928445,18,4,0,2210,11,0,0,credit_card,0,0
USR_0074,23.722606541504632,6,8,0,1943,43,0,0,bank_transfer,0,0
USR_0075,466.5763860950753,19,5,0,3287,1,6,1,mobile_payment,0,1
USR_0076,266.2637810139378,7,5,0,3265,40,0,0,bank_transfer,0,0
USR_0077,31.179344194711707,9,1,0,344,21,0,0,bank_transfer,0,0
USR_0078,177.8249965739873,6,4,0,1107,10,1,0,credit_card,0,0
USR_0079,47.65623631200476,9,3,0,2408,38,1,0,mobile_payment,0,0
USR_0080,202.54277529294635,16,9,1,1615,10,1,0,credit_card,0,0
USR_0081,338.2639076590483,18,2,0,3444,10,1,0,mobile_payment,0,0
USR_0082,240.2460549403054,15,8,0,482,24,0,0,bank_transfer,0,0
USR_0083,198.0238656125327,10,6,0,1914,7,3,1,mobile_payment,0,1
USR_0084,68.38695231482775,6,3,0,1027,23,0,0,mobile_payment,0,0
USR_0085,130.02013238989161,19,8,0,2473,19,0,0,mobile_payment,0,0
USR_0086,59.07021099179205,21,8,0,1107,12,1,0,credit_card,0,0
USR_0087,405.6743785117638,8,6,0,2635,29,1,0,bank_transfer,0,0
USR_0088,76.26751571251405,8,4,0,193,45,1,0,bank_transfer,0,0
USR_0089,301.7329496089578,9,8,1,1634,36,1,0,credit_card,0,0
USR_0090,177.94280265853448,12,6,0,2306,45,0,0,mobile_payment,0,0
USR_0091,120.72940848103991,18,8,0,180,20,0,0,bank_transfer,0,0
USR_0092,323.33953535113085,14,2,0,1167,12,0,0,bank_transfer,0,0
USR_0093,233.9311315947009,8,8,0,3014,1,7,1,bank_transfer,0,1
USR_0094,206.07127896943396,22,0,0,3053,48,1,0,mobile_payment,0,0
USR_0095,300.49748239718855,20,4,0,826,19,0,0,credit_card,0,0
USR_0096,250.72113796010035,15,1,0,2693,35,0,1,credit_card,0,0
USR_0097,158.70726219026477,20,0,0,2722,8,8,1,bank_transfer,0,1
USR_0098,283.9400310049733,6,2,0,2048,17,0,1,mobile_payment,0,0
USR_0099,338.05430250984034,15,6,0,3366,22,1,0,bank_transfer,0,0
USR_0100,23.0796477075586,12,2,0,2803,12,1,0,credit_card,0,0
USR_0101,238.27714716476092,12,9,0,3525,24,1,0,mobile_payment,0,0
USR_0102,38.26480944593645,8,9,0,1650,30,1,0,credit_card,0,0
USR_0103,101.33865289337442,12,8,0,887,38,0,0,bank_transfer,0,0
USR_0104,284.6492796982068,14,2,0,1509,36,1,0,credit_card,0,0
USR_0105,434.43256848013453,13,5,0,3575,39,0,0,mobile_payment,0,0
USR_0106,442.57478280235756,8,1,0,782,23,0,1,mobile_payment,0,0
